descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"VALVULA DE REDUÇÃO OLSEN",1266716,115,4,ATIVO,UNIDADE,372.52,93.13
"Valvula controle de pontas",1266717,114,6,ATIVO,UNIDADE,564.72,94.12
"Valvula solenoide danfos 220v",1266718,113,4,ATIVO,UNIDADE,495.4,123.85
"VALVULA DE SUCÇÃO 2008 OLSEN",1266719,112,3,ATIVO,UNIDADE,371.55,123.85
"VALVULA DE COMANDO 1071 KAVO",1266720,111,4,ATIVO,UNIDADE,178.36,44.59
"Turbina gnatus pb",1266721,110,6,ATIVO,UNIDADE,1486.2,247.7
"TUBO PU 3,0 X 1,6 MM CRISTAL",1266722,109,120,ATIVO,UNIDADE,261.6,2.18
"Tubo 2 dutos pu cinza claro (2) 6x3,3",1266723,108,120,ATIVO,UNIDADE,1664.4,13.87
"Tubo 3 dutos pu cinza claro oblate",1266724,107,120,ATIVO,UNIDADE,1664.4,13.87
"Trava da broca contra ângulo dabi",1266725,106,5,ATIVO,UNIDADE,99.1,19.82
"TECLADO MEMBRANA QUADRA 21 AZUL",1266726,105,3,ATIVO,UNIDADE,282.36,94.12
"Tampa extra torque 605c",1266727,104,5,ATIVO,UNIDADE,421.1,84.22
"Tampa do spray kavo",1266728,103,5,ATIVO,UNIDADE,99.1,19.82
"Tampa da cabeça contra ângulo dabi",1266729,102,5,ATIVO,UNIDADE,59.45,11.89
"Tampa da caneta ms/msl 350/400 pb dabi",1266730,101,5,ATIVO,UNIDADE,361.65,72.33
"SUPORTE DE INSTRUMENTOS MIDWEST",1266731,100,3,ATIVO,UNIDADE,222.93,74.31
"SERINGA TRIPLICE IMPORTADA OLSEN",1266732,99,4,ATIVO,UNIDADE,745.08,186.27
"Sensor temp vt 12/21",1266733,98,2,ATIVO,UNIDADE,299.22,149.61
"SENSOR PT 100 - AHMC5",1266734,97,1,ATIVO,UNIDADE,150.6,150.6
"S/C BY-PASS JET SONIC",1266735,96,4,ATIVO,UNIDADE,586.56,146.64
"ROTOR DE REPOSICAO EXTRA TORQUE 605 PB",1266736,95,12,ATIVO,UNIDADE,3305.28,275.44
"Rolamento ceramico dabi",1266737,93,30,ATIVO,UNIDADE,2021.1,67.37
"ROLAMENTO ESF. AÇO INOX CARGA RADIAL (A.R) KAVO",1266738,92,30,ATIVO,UNIDADE,2021.1,67.37
"RODIZIO EM PU - R011 (SILICONE)",1266739,91,40,ATIVO,UNIDADE,594.4,14.86
"MANIPULADORA 4 POSIÇÕES 3 A IMP.",1266740,61,2,ATIVO,UNIDADE,233.82,116.91
"CONECTOR FCL C/ CAPACITOR SOLDADO",1266741,28,3,ATIVO,UNIDADE,59.46,19.82
