ano_dados,arquivo,caminho,tipo_arquivo,encoding_detectado,qtd_colunas,colunas_json,tipos_inferidos_json,header_hash,linhas_amostra
2021,atasRegistroPrecos_1efc7315-3beb-470b-99c5-38e1ad2560fc.csv,data\2021\atasRegistroPrecos_1efc7315-3beb-470b-99c5-38e1ad2560fc.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_25da6bcf-6e7e-4fbd-bf84-c6beea180ab0.csv,data\2021\atasRegistroPrecos_25da6bcf-6e7e-4fbd-bf84-c6beea180ab0.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,5
2021,atasRegistroPrecos_2c8cb10a-58cc-472b-8a5b-ab301268ccbf.csv,data\2021\atasRegistroPrecos_2c8cb10a-58cc-472b-8a5b-ab301268ccbf.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_2c9b67dc-fa7f-4084-b4c4-b7a5050821c1.csv,data\2021\atasRegistroPrecos_2c9b67dc-fa7f-4084-b4c4-b7a5050821c1.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,3
2021,atasRegistroPrecos_30730f7b-b1e3-4d32-bfd5-6b357bafb04e.csv,data\2021\atasRegistroPrecos_30730f7b-b1e3-4d32-bfd5-6b357bafb04e.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,4
2021,atasRegistroPrecos_30db0f8a-af81-4716-87a8-fb580c15c033.csv,data\2021\atasRegistroPrecos_30db0f8a-af81-4716-87a8-fb580c15c033.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""empty"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_322ea23f-b214-4bcd-9b38-83be91064474.csv,data\2021\atasRegistroPrecos_322ea23f-b214-4bcd-9b38-83be91064474.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""text""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,2
2021,atasRegistroPrecos_387b49de-1539-43e2-9161-2bf4a49c0859.csv,data\2021\atasRegistroPrecos_387b49de-1539-43e2-9161-2bf4a49c0859.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""text""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,3
2021,atasRegistroPrecos_38abe269-d6e6-4aae-9f88-671bfb058741.csv,data\2021\atasRegistroPrecos_38abe269-d6e6-4aae-9f88-671bfb058741.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_399632f3-21f6-4de3-9148-6fb1ab9ddc36.csv,data\2021\atasRegistroPrecos_399632f3-21f6-4de3-9148-6fb1ab9ddc36.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
