descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"2590219	COXIM",0,8,VENCEU," ",723.36,90.42
"2554717	MANGUEIRA DA TURBINA",0,2,VENCEU," ",536.56,268.28
"2554701	SILENCIOSO",0,1,VENCEU," ",506.74,506.74
"7010569	PARAFUSO SEXTAVADO",0,24,VENCEU," ",193.2,8.05
"2554996	MANGUEIRA INF. RADIADOR",0,2,VENCEU," ",256.36,128.18
"2554980	MANGUEIRA SUP. RADIADOR",0,2,VENCEU," ",248.4,124.2
"7012422	ABRAÇADEIRA",0,8,VENCEU," ",39.76,4.97
"7123903	PINHÃO",0,2,VENCEU," ",2895.38,1447.69
"7123905	PINHÃO",0,2,VENCEU," ",2470.12,1235.06
"7123906	ROLAMENTO",0,8,VENCEU," ",2209.76,276.22
"7123909	ANEL O",0,20,VENCEU," ",99.4,4.97
"7123910	ANEL O",0,20,VENCEU," ",89.4,4.47
"7055903	FAROL CONJUNTO",0,6,VENCEU," ",775.02,129.17
"7202773	RODA MOTRIZ",0,2,VENCEU," ",4234.78,2117.39
"7016606	ROLETE",0,12,VENCEU," ",11827.92,985.66
"7011854	ROLETE",0,2,VENCEU," ",2484.04,1242.02
"7098178	CORRENTE",0,4,VENCEU," ",2821.84,705.46
"7098179	CORRENTE",0,4,VENCEU," ",2762.24,690.56
"7098162	ENGRENAGEM",0,4,VENCEU," ",3644.56,911.14
"7098419	BUCHA",0,6,VENCEU," ",733.26,122.21
"12413	COXIM DE BORRACHA",0,8,VENCEU," ",747.2,93.4
"MAO DE OBRA MECANICA",0,200,VENCEU," ",19872,99.36
"VA32E0102100	JUNTA CABEÇOTE",0,2,DESCLASSIFICADO," ",1416,708
"VA32E0102100	PARAFUSO",0,20,DESCLASSIFICADO," ",160,8
"VA3430102200	GUIA DE VÁLVULA ADMISSÃO",0,4,DESCLASSIFICADO," ",744,186
"VA3430102300	GUIA DE VÁLVULA ESCAPE",0,4,DESCLASSIFICADO," ",644,161
"VA3430101600	VÁLVULA ESCAPE",0,4,DESCLASSIFICADO," ",576,144
"VA32G0102100	VÁLVULA ADMISSÃO",0,4,DESCLASSIFICADO," ",536,134
"VA3430511100	TUCHO DE VÁLVULA",0,8,DESCLASSIFICADO," ",1408,176
"VA3430909051	JG DE BRONZINA",0,5,DESCLASSIFICADO," ",1045,209
"VA34311200080	RETENTOR",0,2,DESCLASSIFICADO," ",496,248
"VA32G1200100	CARCAÇA",0,1,DESCLASSIFICADO," ",2033,2033
"VA32G1311200	INDICADOR PRESSÃO ÓLEO",0,2,DESCLASSIFICADO," ",508,254
"VA3421304100	JUNTA CÁRTER",0,2,DESCLASSIFICADO," ",258,129
"VA32G1302010	CÁRTER MOTOR",0,1,DESCLASSIFICADO," ",777,777
"VA32F1720100	PISTÃO DO MOTOR",0,4,DESCLASSIFICADO," ",3788,947
"VA3431707020	JG DE ANÉIS ,025MM",0,4,DESCLASSIFICADO," ",1096,274
"VA32F1902200	JG DE BRONZINA",0,4,DESCLASSIFICADO," ",856,214
"VA32G2000010	VIRABREQUIM",0,1,DESCLASSIFICADO," ",3229,3229
"VA32G2100010	VOLANTE MOTOR",0,1,DESCLASSIFICADO," ",2245,2245
"VA3432101201	CREMALHEIRA",0,1,DESCLASSIFICADO," ",1319,1319
"VA9223321600	PARAFUSO",0,12,DESCLASSIFICADO," ",180,15
"VA32G2302010	ENGRENAGEM INTERMEDIÁRIA",0,1,DESCLASSIFICADO," ",2121,2121
"VA32G300300	ENGRENAGEM GUIA",0,1,DESCLASSIFICADO," ",1081,1081
"VA32G2304300	ROLAMENTO",0,1,DESCLASSIFICADO," ",233,233
"VA32G304100	EIXO GUIA",0,1,DESCLASSIFICADO," ",444,444
"VA32G010100	COLETOR ADMISSÃO",0,1,DESCLASSIFICADO," ",1139,1139
"VA3423221600	COLETOR ESCAPE",0,1,DESCLASSIFICADO," ",763,763
"VA32E3201700	JUNTA COLETOR",0,4,DESCLASSIFICADO," ",92,23
"VA3423203502	TUBO ESCAPE",0,2,DESCLASSIFICADO," ",748,374
"VA4918902750	TURBINA",0,1,DESCLASSIFICADO," ",6469,6469
"VA4918314000	ABRAÇADEIRA",0,4,DESCLASSIFICADO," ",72,18
"VA32A3610010	VALVULA DE SEGURANÇA",0,2,DESCLASSIFICADO," ",592,296
"VA3423902101	RADIADOR DE ÓLEO",0,1,DESCLASSIFICADO," ",3872,3872
"YY30P01006P1	SUPORTE BOMBA HIDRÁULICA",0,1,DESCLASSIFICADO," ",1518,1518
"VA3434021070	CABEÇOTE DO FILTRO",0,1,DESCLASSIFICADO," ",631,631
"VA3444302500	RESPIRO DO MOTOR",0,2,DESCLASSIFICADO," ",678,339
"VAF430003201	ABRAÇADEIRA",0,6,DESCLASSIFICADO," ",72,12
"VA32G4301100	TUBO",0,2,DESCLASSIFICADO," ",576,288
"VA32G450100	POLIA BOMBA DÁGUA",0,1,DESCLASSIFICADO," ",485,485
"VA3434611500	SENSOR",0,1,DESCLASSIFICADO," ",706,706
"VA3434904400	CORREIA BOMBA DÁGUA",0,4,DESCLASSIFICADO," ",500,125
"VA3434801900	ESPAÇADOR",0,1,DESCLASSIFICADO," ",482,482
"VA32G4800200	HELICE",0,1,DESCLASSIFICADO," ",1710,1710
"VA32G103400	TUBO INJETOR",0,2,DESCLASSIFICADO," ",316,158
"VA32G103500	TUBO INJETOR",0,2,DESCLASSIFICADO," ",316,158
"VA32G103600	TUBO INJETOR",0,2,DESCLASSIFICADO," ",316,158
"VA32G6103700	TUBO INJETOR",0,2,DESCLASSIFICADO," ",316,158
"VA32G6100300	BOMBA INJETORA",0,1,DESCLASSIFICADO," ",11129,11129
"VA0556370258	ANEL ORING",0,1,DESCLASSIFICADO," ",155,155
"VA32G6600100	MOTOR DE ARRANQUE",0,1,DESCLASSIFICADO," ",3964,3964
"VA32G6800100	ALTERNADOR",0,1,DESCLASSIFICADO," ",1920,1920
"VA32G9000400	SENSOR PRESSÃO",0,1,DESCLASSIFICADO," ",852,852
"VA32G9000600	SENSOR",0,2,DESCLASSIFICADO," ",1236,618
"VA32G9000700	SENSOR",0,1,DESCLASSIFICADO," ",381,381
"VA32G9000200	SENSOR TEMPERATURA DÁGUA",0,1,DESCLASSIFICADO," ",716,716
"YN35V00050F1	VALVULA SOLENÓIDE",0,1,DESCLASSIFICADO," ",1592,1592
"YY01V00055R500	JG REP. CILINDRO CAÇAMBA",0,2,DESCLASSIFICADO," ",4182,2091
"YY01V00054R500	JG REP. CILINDRO PROFUNDIDADE",0,2,DESCLASSIFICADO," ",3766,1883
"YY01V00053R500	JG RE. CILINDRO LEVANTE",0,4,DESCLASSIFICADO," ",6080,1520
"YY10V00009F1	BOMBA HIDRAÚLICA",0,1,DESCLASSIFICADO," ",20064,20064
"YN42H02349P1	ABRAÇADEIRA",0,10,DESCLASSIFICADO," ",130,13
"YY42H01477P1	ABRAÇADEIRA",0,10,DESCLASSIFICADO," ",110,11
"YY01V00055F1	CILINDRO DA CONCHA",0,1,DESCLASSIFICADO," ",5614,5614
"2418T23986D1	ANEL",0,8,DESCLASSIFICADO," ",72,9
"2419T6002D7	PINO TRAVA",0,8,DESCLASSIFICADO," ",136,17
"2445Z869	ANEL ORING",0,8,DESCLASSIFICADO," ",152,19
"YY12B01436P1	PINO",0,1,DESCLASSIFICADO," ",1390,1390
"YY12B01448P1	BUCHA",0,4,DESCLASSIFICADO," ",1968,492
"YY12B01449P1	BUCHA",0,4,DESCLASSIFICADO," ",1652,413
"YY12B01446P1	BUCHA",0,4,DESCLASSIFICADO," ",2328,582
"YY12B01447P1	BUCHA",0,4,DESCLASSIFICADO," ",1604,401
"YY01V00053F1	CILINDRO LEVANTE",0,2,DESCLASSIFICADO," ",9542,4771
"YY12B01428P1	PINO",0,2,DESCLASSIFICADO," ",1890,945
"YY12B01429P1	PINO",0,2,DESCLASSIFICADO," ",1928,964
"YM12B01120P1	BUCHA",0,4,DESCLASSIFICADO," ",1264,316
"YB12B01101P1	BUCHA",0,4,DESCLASSIFICADO," ",1912,478
"YY12B01432P1	PINO",0,2,DESCLASSIFICADO," ",2366,1183
"YY12B01427P1	PINO",0,4,DESCLASSIFICADO," ",4148,1037
"YY12B01435P1	PINO",0,2,DESCLASSIFICADO," ",1798,899
"YM80S00001F1	FAROL CONJUNTO",0,4,DESCLASSIFICADO," ",1212,303
"YY02B01174P1	PINO",0,4,DESCLASSIFICADO," ",3032,758
"YY60D01004P1	PARAFUSO",0,368,DESCLASSIFICADO," ",2208,6
"LP60D01002P1	PORCA",0,368,DESCLASSIFICADO," ",1472,4
"2424J113C1	SAPATA",0,92,DESCLASSIFICADO," ",19412,211
"YY62D01027P1	ELO",0,92,DESCLASSIFICADO," ",4692,51
"YY62D01029P1	BUCHA",0,90,DESCLASSIFICADO," ",3960,44
"YY62D01031P1	PINO",0,90,DESCLASSIFICADO," ",5760,64
"YY64D01002F1	ROLETE SUPERIOR",0,4,DESCLASSIFICADO," ",3444,861
"YY64D00027F1	ROLETE INFERIOR",0,14,DESCLASSIFICADO," ",8890,635
"YY54D01004P1	MOLA TENSORA",0,2,DESCLASSIFICADO," ",4498,2249
"YY52D00006P1	RODA GUIA",0,2,DESCLASSIFICADO," ",3678,1839
"LP52D01009P1	MANCAL RODA GUIA",0,4,DESCLASSIFICADO," ",1420,355
"2445R441F1	DUOCONE",0,4,DESCLASSIFICADO," ",940,235
"YY51D01006P1	RODA MOTRIZ",0,2,DESCLASSIFICADO," ",4784,2392
"LP53D01001P1	PARAFUSO",0,36,DESCLASSIFICADO," ",756,21
"YY30V00058P1	VALVULA DE CONTROLE",0,1,DESCLASSIFICADO," ",7704,7704
"ZS18C16045	PARAFUSO",0,14,DESCLASSIFICADO," ",84,6
"YN20M01675P1	CONDENSADOR",0,1,DESCLASSIFICADO," ",4038,4038
"YW21C01302P1	AMORTECEDOR",0,2,DESCLASSIFICADO," ",976,488
"YB02C01066F1	VIDRO",0,1,DESCLASSIFICADO," ",1322,1322
"YB51C01001P1	VIDRO",0,1,DESCLASSIFICADO," ",1497,1497
"YY01V00055S005	TAMPA CILINDRO CONCHA",0,1,DESCLASSIFICADO," ",289,289
"YY01V00055S016	EMBOLO CILINDRO CONCHA",0,1,DESCLASSIFICADO," ",441,441
"YN50C01173P1	VIDRO",0,1,DESCLASSIFICADO," ",1199,1199
"YN53C01003F1	MOTOR ELÉTRICO",0,1,DESCLASSIFICADO," ",2314,2314
"YN40F01019DD	ANEL VEDAÇÃO",0,2,DESCLASSIFICADO," ",558,279
"YN53C01003S002	PALHETA LIMPADOR",0,2,DESCLASSIFICADO," ",504,252
"2444P803	VÁLVULA ESTEIRA",0,4,DESCLASSIFICADO," ",292,73
